#SECTION,COLONS,,,,
id,age,sante,satisfaction,energie,anneesDerniereNaissance
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 ⌯ ,-1,Capteur d'Humidité,Capteur d'Humidité,true,
 ⌯ ,-1,Capteur d'Humidité,Capteur d'Humidité,true,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 U ,500,Uranium,Uranium,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 ⌯ ,-1,Capteur d'Humidité,Capteur d'Humidité,true,
 S ,500,Soufre,Soufre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 ≎ ,-1,Recycleur d'Air,Recycleur d'Air,true,
 ⌯ ,-1,Capteur d'Humidité,Capteur d'Humidité,true,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 S ,500,Soufre,Soufre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Cu ,500,Cuivre,Cuivre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 S ,500,Soufre,Soufre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 ⍒ ,195,Puit de Forage,Soufre,true,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Cu ,500,Cuivre,Cuivre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 S ,500,Soufre,Soufre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Cu ,500,Cuivre,Cuivre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 S ,500,Soufre,Soufre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 S ,500,Soufre,Soufre,false,
 C ,500,Carbone,Carbone,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 U ,500,Uranium,Uranium,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 S ,500,Soufre,Soufre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 U ,500,Uranium,Uranium,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Cu ,500,Cuivre,Cuivre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
Cu ,500,Cuivre,Cuivre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 S ,500,Soufre,Soufre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Cu ,500,Cuivre,Cuivre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 S ,500,Soufre,Soufre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Cu ,500,Cuivre,Cuivre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Cu ,500,Cuivre,Cuivre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 S ,500,Soufre,Soufre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Cu ,500,Cuivre,Cuivre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 U ,500,Uranium,Uranium,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Cu ,500,Cuivre,Cuivre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 S ,500,Soufre,Soufre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 S ,500,Soufre,Soufre,false,
Cu ,500,Cuivre,Cuivre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Cu ,500,Cuivre,Cuivre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 C ,500,Carbone,Carbone,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Cu ,500,Cuivre,Cuivre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 S ,500,Soufre,Soufre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
Fe ,500,Fer,Fer,false,
Fe ,500,Fer,Fer,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 S ,500,Soufre,Soufre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 C ,500,Carbone,Carbone,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
 + ,500,Terre,Terre,false,
#SECTION,EVENTS,,,,
entrepotPlein,dortoirsPlein,ressourceEstEpuiseeSTR,filonEpuise,BatimentsPosed,
false,false,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
true,,,,,
false,,,,,
false,,,,,
false,,,,,
false,,,,,
true,,,,,
true,,,,,
true,,,,,
false,,,,,
false,,,,,
true,,,,,
null,null,null,null,null,null
null,null,null,null,null,null
null,null,null,null,null,null
null,null,null,null,null,null
null,null,null,null,null,null
null,null,null,null,null,null
